row_id,xcoord,ycoord
0,30.80977,38.27069
1,30.86011,38.28099
2,30.89308,38.27481
3,30.88277,38.24037
4,30.86894,38.20828
5,30.8551,38.1759
6,30.85628,38.15029
7,30.8919,38.14352
8,30.92428,38.12203
9,30.93841,38.0923
10,30.944,38.06787
11,30.94753,38.0508
12,30.95813,38.02283
13,30.96667,37.99016
14,30.94812,37.96367
15,30.9181,37.92805
16,30.90515,37.89479
17,30.89838,37.86829
18,30.87659,37.8524
19,30.85569,37.86152
20,30.84804,37.87712
21,30.8345,37.88566
22,30.81183,37.91039
23,30.79476,37.93188
24,30.77857,37.94012
25,30.7718,37.95925
26,30.7771,37.98015
27,30.79682,37.99634
28,30.81272,38.01665
29,30.83156,38.04992
30,30.85216,38.077
31,30.84362,38.11114
32,30.81389,38.13822
33,30.77415,38.14853
34,30.75502,38.17119
35,30.75119,38.19533
36,30.75208,38.223
37,30.77327,38.25126
38,30.80977,38.27069
39,31.48563,37.61043
40,31.46503,37.60778
41,31.45649,37.62809
42,31.45943,37.66989
43,31.45178,37.68755
44,31.45266,37.69933
45,31.45914,37.71787
46,31.43647,37.75732
47,31.41263,37.80088
48,31.38879,37.83297
49,31.35376,37.86918
50,31.33933,37.89479
51,31.32403,37.91804
52,31.31873,37.95042
53,31.35788,37.96219
54,31.39467,37.96632
55,31.41852,37.97721
56,31.44795,37.95719
57,31.47415,37.93246
58,31.49888,37.91039
59,31.52773,37.88684
60,31.56158,37.86947
61,31.57571,37.84769
62,31.58071,37.83415
63,31.59308,37.81766
64,31.59484,37.79441
65,31.6022,37.78116
66,31.61309,37.78469
67,31.62663,37.79529
68,31.64636,37.79588
69,31.65489,37.77233
70,31.67314,37.74378
71,31.68609,37.72759
72,31.70228,37.70492
73,31.70641,37.67637
74,31.67491,37.66577
75,31.64429,37.65812
76,31.58248,37.64134
77,31.52625,37.63574
78,31.51566,37.62839
79,31.52007,37.6172
80,31.5239,37.60484
81,31.5083,37.60101
82,31.48563,37.61043
83,33.44845,65.65273
84,33.42078,65.65097
85,33.39223,65.65391
86,33.37545,65.66686
87,33.38281,65.68511
88,33.41696,65.68717
89,33.44109,65.69071
90,33.42785,65.7013
91,33.39988,65.70631
92,33.37074,65.69718
93,33.3572,65.68246
94,33.34866,65.67334
95,33.32158,65.66892
96,33.30186,65.67511
97,33.29185,65.67069
98,33.27596,65.66598
99,33.2474,65.67246
100,33.22326,65.66863
101,33.2059,65.66627
102,33.18765,65.67746
103,33.17087,65.68717
104,33.14997,65.69365
105,33.14025,65.7119
106,33.14908,65.73427
107,33.20943,65.74251
108,33.26683,65.73398
109,33.28361,65.73957
110,33.30951,65.74899
