row_id,xcoord,ycoord
266,18.3982,67.58326
267,18.3755,67.59571
268,18.38038,67.60273
269,18.39186,67.59852
270,18.42506,67.58265
271,18.46327,67.56446
272,18.48219,67.55805
273,18.51368,67.55805
274,18.54176,67.55408
275,18.56605,67.55042
276,18.59132,67.54493
277,18.57057,67.54255
278,18.54322,67.54499
279,18.52101,67.5456
280,18.50074,67.54102
281,18.53566,67.52704
282,18.58668,67.50941
283,18.61463,67.50214
284,18.63319,67.50123
285,18.67726,67.49695
286,18.74086,67.48878
287,18.77882,67.47779
288,18.80433,67.47022
289,18.84864,67.46625
290,18.91188,67.46046
291,18.95204,67.45258
292,18.95802,67.4441
293,18.96388,67.44044
294,18.98878,67.44135
295,19.01686,67.43769
296,19.0514,67.43372
297,19.07399,67.4286
298,19.04176,67.42615
299,19.01319,67.42762
300,18.95265,67.43159
301,18.95265,67.43159
302,17.60401,67.88026
303,17.56849,67.91364
304,17.55567,67.94739
305,17.56373,67.9574
306,17.54359,67.96595
307,17.49,67.98206
308,17.44166,67.99451
309,17.42201,67.9994
310,17.38673,68.01636
311,17.35841,68.02888
312,17.33985,68.03492
313,17.29322,68.0459
314,17.26246,68.0586
315,17.26222,68.07325
316,17.25941,68.08326
317,17.25416,68.09388
318,17.24269,68.10303
319,17.23268,68.10853
320,17.2433,68.10816
321,17.28883,68.09785
322,17.32594,68.07868
323,17.34632,68.055
324,17.38612,68.04499
325,17.42652,68.05652
326,17.45484,68.05897
327,17.48585,68.04346
328,17.49061,68.03687
329,17.46974,68.03797
330,17.45851,68.03583
331,17.44361,68.0304
332,17.44178,68.01734
333,17.46034,68.00428
334,17.50416,67.99604
335,17.56666,67.98267
336,17.59681,67.96076
337,17.58827,67.94587
338,17.59547,67.93098
339,17.61012,67.91669
340,17.61988,67.90723
341,17.62745,67.89759
342,17.63453,67.88904
343,17.63771,67.87745
344,17.62525,67.87202
345,17.61683,67.87507
346,17.60401,67.88026
347,17.60401,67.88026
348,24.74073,66.66016
349,24.71217,66.66993
350,24.68775,66.67139
351,24.67652,66.68207
352,24.67225,66.68909
353,24.6565,66.70551
354,24.6565,66.72095
355,24.6753,66.73499
356,24.68837,66.74134
357,24.70362,66.72797
358,24.72242,66.71888
359,24.72828,66.71339
360,24.73732,66.69941
361,24.75074,66.68299
362,24.76771,66.67115
363,24.78102,66.66236
364,24.7693,66.65198
365,24.74073,66.66016
366,24.74073,66.66016
367,18.48463,67.20307
368,18.47413,67.20948
369,18.45753,67.21155
370,18.43995,67.2179
371,18.4308,67.23157
372,18.40248,67.23646
373,18.35939,67.24586
374,18.33717,67.26197
375,18.3296,67.27051
376,18.31312,67.27686
377,18.28517,67.28968
378,18.22901,67.29847
379,18.18483,67.30244
380,18.18116,67.30848
381,18.20167,67.31031
382,18.23988,67.30726
383,18.28297,67.30091
384,18.30555,67.29511
385,18.33351,67.28541
386,18.37574,67.26722
387,18.39772,67.25013
388,18.42262,67.24164
389,18.44264,67.2356
390,18.45533,67.22858
391,18.46669,67.22431
392,18.48072,67.21186
393,18.48463,67.20307
394,18.48463,67.20307
395,24.44398,66.65229
396,24.45411,66.65955
397,24.46583,66.66596
398,24.47901,66.66077
399,24.50172,66.64893
400,24.54225,66.63953
401,24.56764,66.64405
402,24.56312,66.65595
403,24.55763,66.66444
404,24.57289,66.66077
