Country,Latitude,Longitude,SiteID,SiteName,Slope,Profile cu,ele30m,Tangential,Aspect
Great Britain,51.71090,-1.96961,S6198,Bath Gate,5.16191,0.00070,120.00000,-0.00008,49.56255
Great Britain,52.74990,0.46423,S6199,Bawsey,3.16897,0.00185,25.00000,0.00283,298.78177
Great Britain,51.40780,-1.90366,S6200,Beckhampton Road,1.18664,0.00008,165.00000,-0.00027,128.64149
Great Britain,50.82510,0.04620,S6201,Beddingham,12.94802,0.00322,68.00000,-0.00170,180.00000
Great Britain,51.38490,-0.13590,S6202,Beddington,2.37182,-0.00257,34.00000,-0.00095,128.62755
Great Britain,53.12770,-2.69053,S6203,Beeston Castle,10.39934,-0.00115,121.00000,-0.00048,320.28607
Great Britain,51.23620,1.14048,S6204,Bekesbourne,2.82979,0.00308,76.00000,0.00141,204.15167
Great Britain,51.54080,-1.52123,S6205,Bellbarrow,3.56410,-0.00062,189.00000,0.00122,114.61655
Great Britain,56.47300,-5.37587,S6206,Benderloch,2.38944,-0.00149,19.00000,-0.00013,151.03699
Great Britain,57.60410,-1.95482,S6207,Berrybrae,3.66310,0.00068,44.00000,0.00218,325.38754
Great Britain,51.29850,-2.74020,S6208,Gorsey Bigbury,2.87519,0.00006,245.00000,-0.00253,104.88796
Great Britain,52.88590,-0.32635,S6209,Billingborough,1.20220,0.00003,6.00000,-0.00028,230.42284
Great Britain,50.58040,-1.25915,S6210,Binnel Point,6.50245,-0.00067,15.00000,0.00084,276.40076
Great Britain,51.82680,-2.09868,S6211,Birdlip bypass,1.61239,-0.00197,281.00000,-0.00117,134.07773
Great Britain,55.10840,-3.66023,S6212,Birkhall,2.89182,-0.00056,30.00000,0.00092,73.78974
Great Britain,54.59270,-3.08811,S6213,Birkswood,1.84433,0.00205,152.00000,-0.00000,329.85654
Great Britain,54.45240,-3.43456,S6214,Birrel Sike,1.83963,0.00256,228.00000,0.00156,149.77058
Great Britain,50.78670,0.08141,S6215,Bishopstone,5.46446,-0.00001,34.00000,0.00156,302.25204
Great Britain,56.44260,-5.36992,S6216,Black Crofts,3.46588,-0.00007,73.00000,-0.00097,15.48036
Great Britain,50.86870,-0.44512,S6217,Blackpatch,6.93223,-0.00264,112.00000,-0.00243,285.24106
Great Britain,55.64580,-3.66540,S6218,Blackshouse Burn,2.89467,-0.00055,291.00000,0.00095,286.42105
Great Britain,51.74630,0.80973,S6219,Blackwater Site,0.00000,0.00000,15.00000,0.00000,0.00000
Great Britain,56.13960,-4.06013,S6220,Blair Drummond,1.89931,-0.00280,8.00000,-0.00159,29.17619
Great Britain,51.19380,-2.79863,S6221,Blakeway Farm,1.99458,-0.00057,3.00000,0.00057,68.30389
Great Britain,53.90820,-2.64396,S6222,Bleasdale,3.21234,-0.00059,208.00000,-0.00069,307.58981
Great Britain,55.80490,-6.29821,S6223,Borraichill Mor,3.76974,-0.00050,28.00000,-0.00158,150.61145
Great Britain,52.50750,-4.05532,S6224,Borth,5.38052,-0.00026,2.00000,0.00130,189.88934
Great Britain,52.42840,-1.94704,S6225,Bournville,2.78872,-0.00095,138.00000,0.00206,65.95560
Great Britain,54.95390,-3.95685,S6226,Bow Hill,1.22914,-0.00270,47.00000,0.00024,169.14046
Great Britain,54.11980,-0.22651,S6227,Boynton,1.57685,-0.00303,94.00000,-0.00000,180.00000
Great Britain,56.63240,-2.60646,S6228,Boysack Mill,0.92609,0.00104,32.00000,0.00000,270.00000
Great Britain,54.64870,-2.18289,S6229,Bracken Rigg,6.95989,0.00292,353.00000,0.00186,96.55813
Great Britain,56.61530,-2.77566,S6230,Bractullo,1.43832,0.00184,117.00000,0.00040,151.12852
Great Britain,51.74350,0.89734,S6231,Bradwell Sea,1.66406,-0.00137,1.00000,-0.00155,77.04044
Great Britain,56.10480,-5.25827,S6232,Brainport Bay,3.49374,0.00159,40.00000,0.00310,96.80286
Great Britain,54.60850,-3.46173,S6233,Brainthwaite,3.23259,0.00108,108.00000,-0.00245,51.93670
Great Britain,52.72230,-3.04838,S6234,Breiddin,41.46093,0.00112,296.00000,-0.00065,150.97701
Great Britain,53.09740,-3.53098,S6235,Brenig,2.40807,-0.00143,388.00000,-0.00014,309.71588
Great Britain,51.49110,-0.31743,S6236,Brentford,4.40999,-0.00046,18.00000,-0.00140,265.18079
Great Britain,51.59260,-4.18014,S6237,Breos Cwm Gower,3.35264,-0.00050,146.00000,-0.00012,176.04102
Great Britain,51.10700,-1.26715,S6238,Bridget's Farm,3.49147,0.00009,101.00000,0.00052,263.95502
Great Britain,53.55540,-0.50236,S6239,Brigg Raft,0.92656,-0.00105,4.00000,0.00000,90.00000
Great Britain,53.55540,-0.50085,S6240,Brigg Track,0.79641,0.00067,4.00000,0.00104,60.76029
