Country,Latitude,Longitude,SiteID,Elevation,SiteName,min_lakes_distance,min_rivers_distance,min_borders_distance
Great Britain,56.4507,-5.3097,S2889,240,Machrie Moor,0.151753184,0.013848007,0.013848007
Ireland,54.9647,-5.9231,S2890,170,Mad Man's Window,0.408051976,0.009517825,0.009517825
Great Britain,51.834,-2.6575,S2891,163,Madawg,4.02475968,0.015466069,0.170111387
Great Britain,58.9965,-3.18824,S2894,0,Maeshowe,1.551190636,0.020980167,0.020980167
Great Britain,50.6949,-2.46723,S2902,13,Maiden Castle,3.276531818,0.065376091,0.065376091
Great Britain,53.6115,-1.9879,S2927,8,March Hill ,3.529628659,0.757774649,0.757774649
Great Britain,53.6115,-1.9879,S2928,8,March Hill II,3.529628659,0.757774649,0.757774649
Great Britain,51.3232,-1.8708,S2930,95,Marden,3.905790247,0.572346561,0.572346561
Great Britain,53.2693,-1.2352,S2939,35,Markland Grips,4.317218201,0.555247754,0.6669721
Great Britain,51.4021,-1.39617,S2944,13,Marsh Benham,4.049934357,0.489012256,0.489012256
Great Britain,54.1261,-1.4154,S2947,83,Marton-le-Moor,3.578811156,0.06477838,0.540729835
Great Britain,56.1361,-4.0503,S2967,0,Meiklewood,0.38683885,0.214121272,0.214121272
Great Britain,55.6506,-3.2635,S2972,22,Meldon Bridge,1.199558612,0.007603223,0.329442471
Great Britain,54.9915,-2.61106,S2985,61,Midgeholme Moss,2.124465368,0.411090318,0.411090318
Great Britain,57.0045,-2.49025,S2987,0,Midtown,1.579845832,0.25321549,0.25321549
Great Britain,51.4422,-1.85798,S2997,38,Millbarrow,4.025439408,0.612800023,0.612800023
Great Britain,51.5803,-0.5335,S3001,0,Misbourne Viaduct,4.467595216,0.556800882,0.779037447
Great Britain,55.5136,-5.14,S3011,201,Monamore,0.722106158,0.022606824,0.022606824
Great Britain,54.3478,-1.0845,S3013,0,Money Howe I,3.687153553,0.266363941,0.266363941
Great Britain,54.3152,-3.4067,S3014,589,Monk Moors,2.072610358,0.004228345,0.004228345
Ireland,53.7241,-6.4862,S3015,0,Monknewtown,0.527124184,0.207550781,0.207550781
Great Britain,56.4206,-2.8641,S3046,0,Morton A,1.16177682,0.025611593,0.025611593
Great Britain,56.4206,-2.8641,S3047,0,Morton B,1.16177682,0.025611593,0.025611593
Great Britain,53.2627,-1.1964,S3051,43,Mother Grundy's Parlour,4.351083958,0.544244052,0.642352621
Ireland,55.113,-6.66457,S3057,0,Mount Sandel,0.402809459,0.014520651,0.098324345
Ireland,53.82,-6.76,S3061,0,Moynagh Lough,0.677752686,0.244302411,0.393148637
Great Britain,53.3044,-4.6837,S3066,0,Multiphase site,1.784510571,0.010384007,0.010384007
Great Britain,51.7536,-5.2009,S3081,55,Nab Head Site I,1.877788981,0.010080481,0.010080481
Great Britain,51.7536,-5.2009,S3082,55,Nab Head Site II,1.877788981,0.010080481,0.010080481
Great Britain,51.6409,-4.68108,S3092,291,Nanna's Cave,2.333148953,0.032554093,0.032554093
Great Britain,54.9743,-3.3047,S3112,83,Newbie Cottage,1.636766089,0.039881336,0.039881336
Ireland,54.8216,-6.4579,S3113,0,Newferry,0.078388101,0.014442285,0.405810482
Ireland,53.6948,-6.47555,S3114,0,Newgrange,0.49765845,0.224465136,0.224465136
Great Britain,55.76,-6.211,S3115,0,Newton,0.934108982,0.042471234,0.042471234
Great Britain,51.172,-1.825,S3137,76,Normanton Down,3.759253419,0.439333998,0.439333998
Great Britain,56.0818,-5.7211,S3140,586,North Carn,0.354536846,0.00639553,0.00639553
Great Britain,51.5655,-1.1184,S3141,34,North Stoke,4.271255522,0.39069697,0.716374956
Great Britain,57.8117,-7.0915,S3144,0,Northton,1.537944212,0.010382548,0.010382548
Great Britain,51.2439,-1.52719,S3157,94,Nutbane,3.870404347,0.331360137,0.331360137
Great Britain,51.1148,-0.8898,S3159,0,Oakhanger Warren Site VII,3.906468996,0.276006816,0.276006816
Great Britain,51.1121,-0.8942,S3160,0,Oakhanger Warren,3.902461715,0.272590026,0.272590026
Great Britain,51.1087,-0.9143,S3161,0,Oakhanger,3.892631711,0.266615289,0.266615289
Great Britain,54.3125,-3.4066,S3167,477,Occupation material in alluvial sediments,2.074885239,0.002922259,0.002922259
Great Britain,50.8882,-0.0122,S3176,0,Offham Hill,4.069423814,0.107537055,0.107537055
Great Britain,51.4674,-3.6371,S3179,26,Ogmore-by-Sea,3.286962857,0.027549998,0.027549998
Great Britain,51.6342,-4.68,S3180,366,Ogof-yr-ychen,2.338307599,0.036005947,0.036005947
Great Britain,51.5647,-0.1877,S3201,0,Open site,4.587271262,0.583009006,0.583009006
Great Britain,51.4998,0.377925,S3209,33,Orsett,4.672152205,0.046537458,0.046537458
Great Britain,53.0833,-1.85,S3215,11,Ossom's Cave,4.0063268,0.891186248,0.891186248
Great Britain,51.7463,-1.2554,S3242,71,Oxford BT Tunnel,4.415578971,0.225502066,0.854602422
Ireland,53.4373,-6.1593,S3244,0,Paddy's Hill,0.394791394,0.029187088,0.029187088
Great Britain,54.2133,-0.4234,S3247,0,Palynology monolith,4.304164723,0.061167267,0.061167267
Great Britain,51.5878,-4.1118,S3251,74,Parc le Breos,2.820931351,0.022182455,0.022182455
Great Britain,56.1437,-4.2474,S3256,83,Parks of Carden,0.280476245,0.318258679,0.318258679
Great Britain,51.5498,-4.2546,S3267,102,Paviland Cave,2.725266845,0.018523634,0.018523634
Great Britain,54.2231,-0.4154,S3268,0,peat site,4.305452266,0.048584962,0.048584962
Great Britain,57.1243,-2.6987,S3270,0,Peel of Lumpanan,1.420758462,0.461814745,0.461814745
Ireland,53.3667,-6.3333,S3292,0,Phoenix Park,0.219466683,0.116778078,0.116778078
Great Britain,51.2904,-2.8663,S3300,178,Picken's Hole,3.919266876,0.117547887,0.117547887
Great Britain,49.2486,-2.2525,S3310,6,Pinnacle,1.819448603,0.010510119,0.010510119
Great Britain,51.8164,-0.6463,S3315,0,Pitstone,4.649116093,0.304387688,1.016273257
Great Britain,53.2167,-3.4667,S3356,41,Pontnewedd,2.995488072,0.123229442,0.123229442
Great Britain,55.7334,-6.3844,S3358,0,Port Charlotte,0.990709419,0.011294357,0.011294357
Great Britain,51.6416,-4.6827,S3369,297,Potters Cave,2.33146042,0.03080312,0.03080312
Ireland,53.0328,-9.14863,S3371,55,Poulawack,0.295600444,0.078862753,0.078862753
Ireland,53.0455,-9.1343,S3372,54,Poulnabrone,0.280262725,0.069890421,0.069890421
Great Britain,53.3263,-3.4115,S3380,69,Prestatyn,2.937461562,0.046483046,0.046483046
Great Britain,51.8355,0.6985,S3381,29,presumed Meso pit,4.303082849,0.109628677,0.109628677
Great Britain,51.6667,-4.9167,S3387,8,Priory Farm Cave,2.139891252,0.041354353,0.041354353
Great Britain,56.4033,-5.47853,S3433,512,Raschoille Cave,0.220586933,0.008943584,0.008943584
Great Britain,56.4034,-5.4772,S3434,498,Raschoille,0.220058174,0.009545287,0.009545287
Great Britain,52.3214,-0.1584,S3444,0,Rectory Farm,5.126770132,0.021612797,0.589693988
Great Britain,51.553,-4.257,S3445,129,Red Fescue Cave,2.721446048,0.015548794,0.015548794
Great Britain,50.5194,-4.5846,S3446,45,Redhill Marsh,3.22529548,0.204289931,0.204289931
Great Britain,54.98,-3.08,S3447,31,Redkirk Point,1.806694214,0.018890336,0.018890336
Great Britain,58.1083,-4.9416,S3453,301,Creag nan Uamh/Reindeer Cave,0.215930157,0.115029922,0.115029922
Great Britain,54.3493,-4.4759,S3467,0,"Rhedhoo, IOM",1.6718331,0.041438275,0.041438275
Great Britain,53.2888,-3.4628,S3468,39,Rhuddlan,2.951896929,0.099688541,0.099688541
Great Britain,51.6383,-0.429,S3469,0,Rickmansworth,4.560197888,0.500103634,0.822595978
Ireland,54.5139,-5.6495,S3477,0,Ringneill Quay,0.616347516,0.007684009,0.007684009
Great Britain,56.6716,-5.9016,S3492,379,Risga,0.194979501,0.005952344,0.005952344
Great Britain,53.6466,-2.0257,S3493,9,Rishworth Drain,3.478057365,0.735728742,0.735728742
Great Britain,52.1899,-0.1405,S3496,0,River Snail,5.111839682,0.123336966,0.712688158
Great Britain,53.2618,-1.1994,S3501,36,Robin Hood Cave,4.349372087,0.546287882,0.645162424
Great Britain,53.5774,-1.9547,S3521,2,Rocher Moss South,3.577201644,0.778488329,0.778488329
Ireland,54.009,-6.2928,S3522,0,Rockmarshall,0.484738056,0.014526338,0.014526338
Great Britain,55.7874,-6.4336,S3523,170,Rockside,1.040905737,0.018377029,0.018377029
Great Britain,55.416,-3.3492,S3545,292,Rotten Bottom,1.342100634,0.130354749,0.446672139
Great Britain,51.4355,-0.5353,S3563,0,Runnymede,4.332597531,0.634323703,0.634323703
Great Britain,57.4753,-5.8633,S3653,415,Sand,0.393141003,0.009056186,0.009056186
Great Britain,53.5,-1.2,S3677,89,Scabba Wood Shelter,4.176980318,0.331255583,0.514279163
Great Britain,60.245,-1.5393,S3700,0,Scord of Brouster,3.619463495,0.017708216,0.017708216
Great Britain,58.1085,-4.94038,S3701,307,Creag nan Uamh,0.214726924,0.114751656,0.114751656
Great Britain,54.2331,-0.4176,S3703,0,Seamer Carr,4.298129152,0.041275768,0.041275768
Great Britain,57.0162,-6.2789,S3705,230,Seasonal/year-round occupation and working of lithics,0.60361104,0.009112063,0.009112063
Great Britain,54.1021,-0.1875,S3737,0,Sewerby Cottage Farm,4.562427415,0.030087122,0.030087122
Ireland,52.6804,-8.2307,S3739,77,Shanballyedmond,0.22745134,0.299223726,0.520523174
Great Britain,56.0209,-6.2162,S3742,16,Shell midden assoc with raised storm beach,0.848591509,0.011336922,0.011336922
Great Britain,55.5996,-4.6589,S3743,547,Shewalton,0.423432611,0.019493725,0.019493725
Great Britain,52.429,0.4124,S3745,0,Shippea Hill,4.556098936,0.178187132,0.340522424
Great Britain,58.2309,-6.20479,S3751,87,Shulishader,0.821057271,0.02236964,0.02236964
Great Britain,60.1454,-1.2058,S3760,0,Shurton Hill,3.835650837,0.017493213,0.017493213
Great Britain,51.5022,-1.8939,S3771,64,Silvertown,4.082497041,0.551807649,0.551807649
Great Britain,59.0488,-3.3406,S3785,0,Skara Brae,1.467219122,0.005236831,0.005236831
Great Britain,56.6489,-3.7224,S3787,93,Sketewan,0.298026174,0.059435798,0.489101734
Ireland,54.1215,-6.4321,S3793,0,Slieve Gullion,0.363321295,0.12785184,0.12785184
Great Britain,55.2015,-4.145,S3798,295,Smittons T1,0.928942971,0.339791482,0.339791482
Great Britain,55.2015,-4.1466,S3800,286,Smittons,0.928178709,0.339533578,0.339533578
Great Britain,51.4167,-1.8667,S3825,63,South Street,3.99931603,0.619223634,0.619223634
Great Britain,53.6583,-2.0454,S3826,7,Soyland Moor,3.455775054,0.722607476,0.722607476
Great Britain,53.3301,-3.4717,S3831,56,Splash Point ,2.910335981,0.09740051,0.09740051
Great Britain,52.6925,-2.4108,S3832,138,Spong Hill,3.974946362,0.69520681,0.703311142
Great Britain,51.5658,-4.09773,S3834,41,Spurge Hole,2.844844643,0.011156433,0.011156433
Great Britain,56.97,-2.2434,S3835,0,Spurryhillock,1.811478939,0.048246538,0.048246538
Great Britain,51.4032,-0.4518,S3851,0,Staines Road Farm,4.333646501,0.600216778,0.600216778
Great Britain,51.4326,-0.5181,S3852,0,Staines enclosure,4.336155491,0.632577917,0.632577917
Great Britain,54.503,-1.72356,S3854,181,Stanwick,3.096518317,0.10303949,0.508754748
Great Britain,56.061,-6.19914,S3855,393,Staosnaig,0.824261258,0.021995022,0.021995022
Great Britain,54.2142,-0.4234,S3856,0,Star Carr,4.303668465,0.060422483,0.060422483
Great Britain,55.2151,-4.3847,S3859,120,Starr 1,0.827870933,0.30834759,0.30834759
Great Britain,54.2133,-0.423503,S3860,0,Starr Carr,4.304078802,0.061224798,0.061224798
Great Britain,53.0667,-0.8667,S3866,0,Staythorpe,4.721957182,0.636163331,0.644309826
Great Britain,51.1789,-1.8262,S3876,94,Stonehenge,3.766005831,0.444327577,0.444327577
Ireland,53.0865,-8.2847,S3877,80,Stoney Island,0.015808782,0.487524021,0.623385589
Great Britain,57.4818,-4.1902,S3878,135,Stoneyfield,0.175812704,0.010830148,0.010830148
Great Britain,51.2716,-2.00014,S3886,68,Strawberry Hill,3.845884097,0.533076096,0.533076096
Great Britain,54.566,-0.8615,S3887,0,Street House Farm,3.744570263,0.073774904,0.073774904
Great Britain,55.9147,-4.2723,S3902,88,Summerston,0.293265268,0.209820572,0.209820572
Ireland,53.4006,-7.6103,S3909,58,Sutton,0.273533007,0.265897182,1.209606535
Great Britain,51.1585,-2.8266,S3914,81,Sweet Track,3.782520856,0.185370394,0.185370394
Great Britain,55.4756,-2.8148,S3918,143,Synton Moss,1.634899671,0.1159546,0.509320215
Ireland,52.4042,-8.6113,S3936,40,Tankardstown Site ,0.443223543,0.302977812,0.302977812
Ireland,53.58,-6.6123,S3938,0,Tara,0.401135176,0.385719629,0.385719629
Great Britain,56.1234,-5.4981,S3957,358,Temple Wood,0.13482713,0.044277638,0.044277638
