Country,Latitude,Longitude,SiteID,SiteName,slope,Profile cu,ele30m,tangential,aspect,lake,river
Ireland,53.4006,-7.6103,S3909,Sutton,3.1799,-0.0001,63,0.00198,299.15033,3.74456665,0.633536305
Great Britain,51.1585,-2.8266,S3914,Sweet Track,4.97831,-0.00307,3,-0.00206,77.20082,0.293266565,0.784829539
Great Britain,55.4756,-2.8148,S3918,Synton Moss,0.4689,-0.00085,241,0.00013,209.59593,0.973996336,0.265902153
Ireland,52.4042,-8.6113,S3936,Tankardstown Site,2.45324,0.0007,78,-0.00046,337.81708,3.782517394,0.485879769
Ireland,53.58,-6.6123,S3938,Tara,2.41913,0.00122,151,0.00173,130.03633,1.634896624,0.115953401
Great Britain,56.1234,-5.4981,S3957,Temple Wood,2.45808,-0.00028,19,-0.00265,250.29987,0.945460203,0.625861764
Great Britain,51.3975,-1.2769,S3965,Thatcham II,3.53211,-0.00064,72,0.00165,301.58499,0.401140181,0.519248435
Great Britain,51.3975,-1.2783,S3966,Thatcham III,0.78773,-0.00093,71,0.0005,241.94846,0.134832978,0.874826954
Great Britain,51.3975,-1.2783,S3967,Thatcham IV,0.78773,-0.00093,71,0.0005,241.94846,4.070440036,0.570596493
Great Britain,51.3966,-1.2769,S3968,Thatcham Site III,1.96564,0.0002,70,0.00185,304.41498,4.070126948,0.570821934
Great Britain,51.3975,-1.2726,S3969,Thatcham V,1.21633,-0.00139,69,-0.00028,252.26997,4.070126948,0.570821934
Great Britain,51.3975,-1.2783,S3970,Thatcham,0.78773,-0.00093,71,0.0005,241.94846,4.069562869,0.57148494
Great Britain,55.8228,-2.605,S3972,The Dunion,5.1145,-0.00214,391,-0.00177,344.27945,4.071404524,0.569925012
Great Britain,53.3086,-1.206,S3977,Thorpe Common,1.18313,0.00258,97,0.00177,168.70949,4.070126948,0.570821934
Great Britain,50.4938,-3.6709,S3980,Three Holes Cave,3.77358,0.00027,83,-0.00164,258.91299,1.602777133,0.228779334
Great Britain,51.6358,-0.445,S4000,Tolpits Lane,1.14085,-0.00232,49,0.00024,11.71828,4.314246291,0.506913944
Great Britain,51.638,-0.429,S4001,Tolpitts Lane,0,0,50,0,0,3.403590282,1.507332612
Ireland,54.7509,-6.4777,S4003,Toome Bay,1.38747,-0.00125,13,-0.00013,30.04636,4.552021144,0.501125936
Great Britain,50.4932,-3.6677,S4008,Tornewton Cave,12.31476,0.00035,68,0.0014,56.49979,4.559922858,0.500406772
Ireland,53.7218,-6.4501,S4018,Townley Hall,2.39021,0.00242,47,0.00197,119.33665,1.229138048,0.005394978
Great Britain,53.1824,-4.4665,S4046,Trwyn Du,5.77001,0.00044,2,0.00021,2.29335,3.401656909,1.505648042
Great Britain,51.5803,-0.5335,S4050,"Tufa with soils, animal bones, and flint-knapping",1.60821,0.00087,45,0.00016,313.92099,0.525134231,0.496243453
Great Britain,58.5347,-3.6009,S4052,Tulloch of Assery A,0,0,65,0,0,1.995196911,1.306213882
Great Britain,58.5346,-3.6026,S4053,Tulloch of Assery B,1.2808,0.00158,66,0.00166,313.71536,4.467589622,0.556799488
Great Britain,57.5851,-3.5239,S4054,Tulloch Wood,3.33242,0.00224,224,0.00164,130.24188,0.951151726,1.816621059
Ireland,54.4531,-7.81,S4055,Tully,3.03443,0.00083,71,0.00567,262.47974,0.949627452,1.816338467
Great Britain,56.4903,-5.86527,S4074,Ulva Cave,27.4469,-0.00202,302,0.00019,193.95772,1.01052635,0.89114685
Great Britain,50.9124,-3.4439,S4077,Underlies presumptive Neo earthen long barrow,0.43371,-0.00044,97,0.00087,327.69907,0.011181245,0.034243485
Great Britain,56.1394,-5.48399,S4081,Upper Largie,4.55829,-0.01025,28,0.00164,182.90573,0.303607672,1.098701418
Great Britain,51.5325,-2.97031,S4088,Uskmouth,0,0,0,0,0,3.701707476,1.049816911
Great Britain,51.5325,-2.9588,S4089,Uskmouth 8,0,0,0,0,0,0.11429733,0.854191514
Great Britain,53.2302,-2.1993,S4182,Walker's Heath,0.46334,0,121,0,270,3.847138031,0.313152668
Great Britain,51.4632,-0.1932,S4186,Wandsworth,0.92689,-0.00105,4,0,90,3.85758587,0.302664811
