,country,latitude,longitude,siteid,sitename,slope,profile,tangential,aspect,elevation,lakes_distance,rivers_distance,borders_distance
63,Great Britain,58.3812,-3.2656,S1443,Camster,1.27816,0.00022999999999999998,0.00033,226.41019,0,1.203671896,0.08804091,0.08804091
64,Great Britain,57.4817,-4.2486,S1446,Canal Road,3.22038,0.0030399999999999997,0.00082,21.043039999999998,186,0.129297453,0.015763455,0.015763455
65,Great Britain,53.2295,-4.2639,S1452,Capel Eithin,2.41105,0.00242,0.00257,230.19717000000003,184,2.198998715,0.051768536,0.051768536
66,Great Britain,56.406000000000006,-5.4828,S1459,Carding Mill Bay,0.95496,-0.0028399999999999996,-0.006659999999999999,209.00595,542,0.22498151,0.003891658,0.003891658
67,Great Britain,50.2203,-5.2471,S1462,Carn Brea,4.8446,-0.00045999999999999996,-0.00058,318.06842,0,3.1600586539999997,0.07549581799999999,0.07549581799999999
68,Ireland,54.7386,-6.8168,S1463,Carnanbane,1.66639,0.00336,-0.00023999999999999998,196.13527,109,0.280094477,0.299558968,0.38823067899999997
69,Great Britain,56.007,-3.543,S1469,Carriden,2.36746,0.004,0.00172,29.260640000000002,0,0.746783437,0.035816002,0.035816002
70,Ireland,54.0475,-8.367,S1471,Carrowkeel,6.403969999999999,-0.00035,0.00206,336.65732,53,0.287355611,0.073880068,0.21559098100000001
71,Ireland,54.228,-8.57974,S1472,Carrowmore,0.0,0.0,0.0,0.0,110,0.429553167,0.01640918,0.01640918
72,Great Britain,55.1225,-3.6153,S1473,Carzield,2.02356,0.0004,0.0020800000000000003,53.20964,445,1.310312949,0.134719514,0.134719514
73,Great Britain,57.4776,-4.2267,S1485,Castle Street,6.54971,0.00307,0.0017699999999999999,211.86307999999997,138,0.143337326,0.020136904,0.020136904
74,Ireland,55.1151,-6.6644,S1486,Castleroe,10.335139999999999,-0.00039,-0.00065,239.82032999999998,0,0.404650684,0.012414966999999999,0.096247446
75,Great Britain,50.3697,-4.1275,S1492,Cattedown,3.73547,-0.0016300000000000002,-0.0007599999999999999,194.35028,0,3.521686484,0.014264816999999999,0.014264816999999999
76,Great Britain,56.0847,-3.8703,S1528,Chapelfield,1.65612,-0.00223,0.00035,180.0,0,0.51090754,0.039370062000000004,0.039370062000000004
77,Great Britain,51.25,-2.8333,S1540,Chelm's Combe,2.5935599999999996,-0.00037,-0.00025,5.12308,142,3.87384833,0.167124525,0.167124525
78,Great Britain,51.4314,-1.9527,S1547,Cherhill,7.0726,-0.00218,0.00279,257.95898,72,4.00800467,0.54012651,0.54012651
79,Great Britain,51.7036,-0.612,S1549,Chesham,11.19667,-0.00079,0.00164,189.40778999999998,0,4.554605101,0.421464739,0.902556803
80,Great Britain,56.2314,-4.203530000000001,S1559,Claish Farm,2.65886,0.0009,-0.00047999999999999996,339.62842,272,0.259999111,0.384848817,0.384848817
81,Great Britain,56.5482,-3.3681,S1561,Cleaven Dyke,1.6763,0.0034200000000000003,0.0,360.0,0,0.6469697010000001,0.018561651000000002,0.18767149100000002
82,Great Britain,56.376000000000005,-5.437,S1562,Cleigh,9.2206,0.0015400000000000001,0.00413,328.47952000000004,666,0.17868072100000001,0.015008005,0.015008005
83,Ireland,53.665,-7.40924,S1563,Clonava Townland,2.0099299999999998,0.0,0.0016300000000000002,292.82822000000004,28,0.445596324,0.38740432700000005,1.060607975
84,Great Britain,56.0155,-6.23501,S1567,Cnoc Coig,2.6249700000000002,-0.0021,-0.0005,321.8963,249,0.868117083,0.020321528000000002,0.020321528000000002
85,Great Britain,56.0674,-6.21,S1568,Cnoc Sligeach,8.54332,0.00139,0.00033,289.67368,346,0.8339350879999999,0.026746957000000002,0.026746957000000002
86,Great Britain,50.9774,-1.1324,S1597,Corhampton,4.08407,0.00172,-0.00165,254.38263999999998,34,3.7007991330000003,0.131884195,0.131884195
87,Great Britain,55.8,-6.4557,S1608,Coulererach,2.4203200000000002,0.00253,0.00212,59.38414,116,1.052663174,0.0060261180000000004,0.0060261180000000004
88,Great Britain,56.089,-3.90445,S1630,Cowie Road,1.22948,-0.00041,0.0001,109.68382,0,0.49046049,0.069210731,0.069210731
89,Great Britain,56.1259,-5.2407,S1632,Crarae,1.42432,0.0019399999999999999,0.00173,29.185029999999998,21,0.11787644800000001,0.012991382,0.012991382
90,Great Britain,50.5229,-2.4444,S1656,Culverwell,4.994680000000001,-0.00206,-0.0009400000000000001,323.00518999999997,0,3.1032221210000004,0.010145896,0.010145896
91,Great Britain,54.8572,-4.05159,S1657,Cumstoun,6.2454,0.00445,0.00278,26.311840000000004,44,1.278655805,0.028529834,0.028529834
92,Ireland,55.1195,-6.0577,S1661,Cushendun,6.998889999999999,-0.0018800000000000002,-0.00193,133.58282,0,0.445234817,0.018615748999999997,0.018615748999999997
93,Great Britain,55.3546,-3.6096,S1663,Daer Reservoir,4.5157,-0.00248,-0.00105,171.16794,306,1.158484943,0.152650763,0.36128657799999997
94,Ireland,53.2708,-6.084,S1666,Dalkey Island,7.7206,0.0028399999999999996,0.00495,252.6317,0,0.395566865,0.01464831,0.01464831
95,Great Britain,56.7959,-2.6107,S1667,Dalladies,0.9260700000000001,-0.0010400000000000001,0.0,270.0,0,1.418686345,0.180592093,0.180592093
96,Great Britain,51.6381,-4.67632,S1673,Daylight Rock,10.19566,0.0028699999999999997,0.00156,278.31212999999997,340,2.3385910290000003,0.037934683,0.037934683
97,Great Britain,57.2344,-2.3579,S1679,Deer's Den,2.51772,-0.0016300000000000002,-0.0019199999999999998,312.67758,0,1.778088713,0.293882149,0.293882149
98,Ireland,54.2399,-5.8446,S1689,Dendrum Nature Reserve,2.31508,0.00209,0.0,90.0,0,0.5443018470000001,0.005380651,0.005380651
99,Ireland,55.0017,-6.4042,S1736,Dooey's Cairn,3.7127,0.0,0.0,29.891309999999997,0,0.26625148,0.123547049,0.23047817899999998
100,Great Britain,50.7,-2.4333,S1737,Dorchester,3.92024,-0.0023,-0.0017699999999999999,62.30695,14,3.278899035,0.06253407400000001,0.06253407400000001
101,Great Britain,50.933,-1.99,S1740,Dorset Cursus,1.30135,-0.0029100000000000003,-0.00137,327.71057,131,3.5082838919999997,0.199173855,0.199173855
102,Great Britain,56.6233,-2.6242,S1743,Douglasmuir,1.8517,0.0,0.0,270.0,0,1.3901860990000001,0.079901157,0.079901157
103,Great Britain,51.67,-1.13,S1748,Drayton Cursus,0.43885,-0.00075,0.00013000000000000002,31.87323,66,4.369682353,0.29191331600000003,0.8213084629999999
104,Great Britain,56.41,-5.4741,S1753,Druimvargie,6.45694,-0.0017800000000000001,0.0012,301.01703,465,0.22455620699999998,0.004882059,0.004882059
105,Great Britain,57.2396,-7.449160000000001,S1758,Dun Vulan,0.0,0.0,0.0,0.0,0,1.783895819,0.006899804,0.006899804
106,Great Britain,53.51,-1.7934,S1761,Dunford Bridge,1.22159,0.00182,0.0015,108.54736000000001,16,3.740448048,0.7474691170000001,0.920084294
107,Great Britain,55.9645,-4.9387,S1762,Dunloskin Wood,8.646,0.00014,-0.0018100000000000002,18.59981,106,0.315738607,0.019340323,0.019340323
108,Great Britain,55.997,-4.3528,S1763,Duntreath,5.639819999999999,0.0009,-0.00059,59.25591,41,0.183710085,0.146051767,0.146051767
109,Great Britain,52.247,-0.76081,S1771,Earl's Barton,0.44293000000000005,0.0007599999999999999,-0.00013000000000000002,31.541840000000004,0,5.02365169,0.101858775,1.001725987
110,Great Britain,51.3934,-1.9080000000000001,S1772,Easton Down,4.9408,0.0019399999999999999,0.0011300000000000001,346.47076,72,3.97296907,0.598656089,0.598656089
111,Great Britain,52.6063,1.2672,S1773,Eaton Heath,3.16663,-0.00145,-0.0024100000000000002,298.702,25,3.7084012110000004,0.312866474,0.312866474
112,Great Britain,57.4677,-7.3492,S1796,Eilean,0.0,0.0,0.0,0.0,40,1.7651203219999998,0.022444107999999997,0.022444107999999997
113,Ireland,51.96,-10.26,S1826,Emlagh Bog Embayment,4.77447,0.00313,0.0020800000000000003,246.92755,414,0.672117456,0.013946401,0.013946401
114,Great Britain,54.3139,-3.40665,S1853,Eskmeals,3.00254,0.0003,0.00143,202.66687,534,2.073706599,0.004309304,0.004309304
115,Great Britain,51.4934,-0.6314,S1860,Eton Wick,1.13743,-0.0023,0.00023999999999999998,168.24573999999998,0,4.351017047,0.5868819710000001,0.6941440209999999
116,Great Britain,52.4203,-0.76261,S1878,Faraday Road,1.77623,0.00232,0.0015199999999999999,328.55865,0,5.18955108,0.265804985,0.902569464
117,Ireland,52.1764,-10.4556,S1896,Ferriter's Cove,6.695360000000001,-0.00206,-0.0017,218.32426,101,0.864954433,0.006464828000000001,0.006464828000000001
118,Great Britain,56.2767,-2.5871,S1898,Fife Ness,3.32599,-0.00672,0.0,360.0,0,1.460144933,0.010346521,0.010346521
119,Great Britain,54.7301,-1.2623,S1901,Filpoke Beacon,2.44907,0.00233,0.00149,109.06442,0,3.319508714,0.022573019,0.022573019
120,Great Britain,51.7048,-0.006999999999999999,S1908,Fisher's Green,0.92685,0.0007,0.0018100000000000002,90.0,0,4.791212175,0.465449887,0.465449887
121,Great Britain,50.708,-2.4191,S1911,Flagstones,2.64609,0.0006900000000000001,0.0009599999999999999,344.77646,5,3.285846805,0.06577856,0.06577856
122,Great Britain,49.9898,-5.218999999999999,S1913,Flint scatter and features 1,0.78281,0.00093,-0.00047999999999999996,242.65996,0,3.383924522,0.02143909,0.02143909
123,Great Britain,51.7541,-0.0019,S1914,Flint scatter in peat 2,0.43943999999999994,0.00075,-0.00013000000000000002,31.825159999999997,0,4.837801441,0.48981948200000003,0.48981948200000003
124,Great Britain,54.2159,-0.4141,S1916,Flixton,1.58051,0.0030399999999999997,0.0,360.0,0,4.310495085,0.053994935,0.053994935
125,Great Britain,51.3993,-1.2812,S1942,food processing activity,1.9777900000000002,0.0020800000000000003,-0.00107,200.57196000000002,18,4.071239781,0.515428764,0.515428764
126,Great Britain,56.7354,-2.5463,S1944,Fordhouse Barrow,2.50252,0.0018,0.00016,312.2934,0,1.475101835,0.09589607,0.09589607
127,Great Britain,52.7615,-3.0819,S1950,Four Crosses,1.3399,0.00158,0.0016600000000000002,31.24222,94,3.401648269,0.433671464,0.473226284
