Country,Latitude,Longitude,SiteID,SiteName,Slope,SRTM_World,Aspect
Great Britain,51.40860,-1.85111,S5063,West Kennet Long Barrow,276586.34375,177.00000,352.08783
Great Britain,51.41250,-1.84314,S5064,West Kennett Palisade,171026.31250,150.00000,246.43686
Great Britain,50.93710,-1.99209,S5067,Wyke down henge 2,318198.06250,70.00000,257.26007
Ireland,55.03600,-7.27964,S5085,Thornhill,685419.56250,33.00000,346.17197
Ireland,54.67010,-6.15631,S5087,Ballyharry,216333.07813,89.00000,201.12614
Ireland,54.65190,-8.08210,S5088,Drummeny Lower,1123298.75000,35.00000,158.55499
Ireland,55.02530,-7.26980,S5089,Enagh Townland,1006230.56250,15.00000,311.03433
Ireland,54.00350,-6.76032,S5090,Coolfore,662721.68750,107.00000,278.77252
Ireland,52.25760,-9.70116,S5091,Cloghers,254558.43750,19.00000,31.53576
Great Britain,51.84330,-2.10593,S6139,Crickley Hill,1000624.81250,261.00000,249.56627
Great Britain,51.40330,-1.07551,S6157,Abbots Farm,389422.65625,93.00000,245.88370
Great Britain,51.22770,-1.73216,S6158,Ablington,332039.15625,123.00000,348.17892
Great Britain,51.42030,-1.51961,S6159,Aldbourne,571183.00000,98.00000,8.64760
Great Britain,53.29310,-2.21605,S6160,Alderley Edge,673832.31250,174.00000,190.26727
Great Britain,51.40550,-1.13011,S6161,Aldermaston,84852.81250,53.00000,32.02334
Great Britain,50.81260,0.14361,S6162,Alfriston,1127497.25000,109.00000,2.41859
Great Britain,50.70740,-2.42207,S6163,Alington Avenue,526925.06250,68.00000,262.31241
Great Britain,56.41680,-3.53357,S6164,Almond Bank,1417956.25000,63.00000,280.86447
Great Britain,52.29610,-2.81390,S6165,Ambrey,551951.06250,283.00000,326.48840
Great Britain,51.17920,-2.83128,S6166,Amesbury,225499.45313,2.00000,83.94558
Great Britain,53.38900,-4.34157,S6167,Amlwch,618465.87500,141.00000,67.30553
Great Britain,54.21230,-1.11054,S6168,Ampleforth Moor,208925.82813,234.00000,303.27274
