"BoneID","Measurement",PrimaryKey,Value
"B3900","Bd",14652,7.5
"B3900","Bp",14653,8.7
"B3900","GL",14654,22.1
"B3900","SD",14655,5.7
"B3901","Bd",14660,7.5
"B3901","Bp",14661,8.8
"B3901","GL",14662,22.2
"B3901","SD",14663,6.3
"B3902","Bd",14668,6.5
"B3902","Bp",14669,8
"B3902","GL",14670,22.3
"B3902","SD",14671,4.8
"B3903","Bd",14676,6.7
"B3903","Bp",14677,8.2
"B3903","GL",14678,22.4
"B3903","SD",14679,5.2
"B3904","Bd",14684,7.6
"B3904","Bp",14685,8.9
"B3904","GL",14686,22.9
"B3904","SD",14687,5.8
"B3905","Bd",14692,6.9
"B3905","Bp",14693,8.1
"B3905","GL",14694,23.6
"B3905","SD",14695,5.3
"B3906","Bd",14700,7
"B3906","Bp",14701,8.2
"B3906","GL",14702,23.6
"B3906","SD",14703,5.5
"B3907","Bd",14708,7.4
"B3907","Bp",14709,8.5
"B3907","GL",14710,24.1
"B3907","SD",14711,5.9
"B3908","Bd",14716,8
"B3908","Bp",14717,9.3
"B3908","GL",14718,25.6
"B3908","SD",14719,6.3
"B3909","Bd",14724,7.6
"B3909","SD",14725,6.1
"B3910","Bd",14732,6.4
"B3910","Bp",14733,7.4
"B3910","GL",14734,10
"B3910","SD",14735,6
"B3911","Bd",14740,6.5
"B3911","Bp",14741,7.3
"B3911","GL",14742,10.4
"B3911","SD",14743,5.7
"B3912","Bd",14748,7
"B3912","Bp",14749,7.4
"B3912","GL",14750,10.8
"B3912","SD",14751,5.8
"B3913","Bd",14756,7.2
"B3913","Bp",14757,7.6
"B3913","GL",14758,12.2
"B3913","SD",14759,5.8
"B3914","Bd",14764,7
"B3914","Bp",14765,7.8
"B3914","GL",14766,12.9
"B3914","SD",14767,6
"B3915","Bd",14772,7.1
"B3915","Bp",14773,7.4
"B3915","GL",14774,13.1
"B3915","SD",14775,6
"B3916","Bd",14780,7.9
"B3916","Bp",14781,8.3
"B3916","GL",14782,13.6
"B3916","SD",14783,6.4
"B3917","Bd",14788,7.8
"B3917","Bp",14789,8.4
"B3917","GL",14790,13.7
"B3917","SD",14791,6.6
"B3918","Bd",14796,6.9
"B3918","Bp",14797,7.1
"B3918","GL",14798,14.3
"B3918","SD",14799,5.2
"B3919","Bd",14804,6.6
"B3919","Bp",14805,7.2
"B3919","GL",14806,15.2
"B3919","SD",14807,4.7
"B3920","Bd",14812,6.6
"B3920","Bp",14813,7.4
"B3920","GL",14814,15.4
"B3920","SD",14815,4.9
"B3921","Bd",14820,7.2
"B3921","Bp",14821,7.5
"B3921","GL",14822,16.8
"B3921","SD",14823,5.2
"B3922","Bd",14828,7.8
"B3922","Bp",14829,8
"B3922","GL",14830,19
"B3922","SD",14831,5.3
"B3923","Bd",14836,20.2
"B3924","GB",14842,40.4
"B3925","GLP",14847,26.1
"B3925","LG",14848,23.4
"B3926","Bp",14851,25.6
"B3927","BPC",14856,13.5
"B3927","SDO",14857,18.5
"B3927","DPA",14858,21.7
"B3928","Bd",14863,26.2
"B3928","Bp",14864,22.1
"B3928","GL",14865,106.8
"B3928","SD",14866,14.3
"B3929","Bd",14869,27.8
"B3929","Bp",14870,23.7
"B3929","GL",14871,109.7
"B3929","SD",14872,15.4
"B3930","BFp",14875,27.4
"B3930","Bp",14876,28.9
"B3931","Bd",14881,17.5
"B3931","GLl",14882,26.9
"B3931","GLm",14883,25.2
"B3931","Dl",14884,14.2
"B3932","Bd",14890,28.6
"B3932","BT",14891,27.2
"B3933","Bd",14896,29.7
"B3933","BT",14897,28.9
"B3934","Bd",14902,22.6
"B3934","Bp",14903,21.2
"B3934","GL",14904,119.2
"B3934","SD",14905,11.3
"B3935","GL",14908,122.5
"B3936","Bd",14913,23.4
"B3937","LA",14918,31.1
"B3937","LAR",14919,25.1
"B3938","Bd",14920,8.5
"B3938","Bp",14921,10.9
"B3938","GLpe",14922,23.5
"B3938","SD",14923,8.1
"B3939","BFp",14928,25.6
"B3939","Bp",14929,28.7
"B3940","Bp",14934,29
"B3941","BPC",14940,15.6
"B3942","Bd",14945,41.5
"B3943","Bd",14951,36.3
"B3944","SLC",14957,22.1
"B3945","SLC",14962,22.2
"B3946","SLC",14967,24.8
"B3947","SLC",14972,26.3
"B3948","BPC",14977,18.3
"B3949","Bp",14982,66.7
"B3950","GLP",14987,81.5
"B3951","BPC",14991,49.3
"B3951","DPA",14992,72
"B3952","Bd",14997,38.5
"B3952","GLl",14998,56.4
"B3952","GLm",14999,52
"B3952","Dl",15000,31.7
"B3953","GLl",15006,56.9
"B3953","Dl",15007,32.7
"B3954","Bd",15015,37.4
"B3954","GLl",15016,59.6
"B3954","GLm",15017,55
"B3954","Dl",15018,34
"B3955","Bd",15024,35.6
"B3955","GLl",15025,57.6
"B3955","GLm",15026,53.1
"B3955","Dl",15027,32.4
"B3956","Bd",15033,41.4
"B3956","GLl",15034,62
"B3956","GLm",15035,57.3
"B3956","Dl",15036,36
"B3957","Bd",15042,39.1
"B3957","GLl",15043,63.2
"B3957","GLm",15044,56.5
"B3957","Dl",15045,36.3
"B3958","Bd",15051,39.6
"B3958","GLl",15052,63.5
"B3958","GLm",15053,58.5
"B3958","Dl",15054,36.4
"B3959","Bd",15060,41
"B3959","GLl",15061,64
"B3959","GLm",15062,59.3
"B3959","Dl",15063,35.6
"B3960","Bd",15069,40.8
"B3960","GLl",15070,66
"B3960","GLm",15071,61.9
"B3960","Dl",15072,38.5
"B3961","Bd",15078,42.8
"B3961","GLl",15079,67.2
"B3961","GLm",15080,61
"B3962","Bd",15087,47
"B3962","GLl",15088,70.5
"B3962","GLm",15089,64
"B3962","Dl",15090,40
"B3963","GL",15096,116.8
"B3964","GL",15098,118
"B3965","GL",15100,150.5
"B3966","Bd",15102,69
"B3968","Bd",15114,78.2
"B3969","Bd",15120,79.3
"B3970","Bd",15126,82
"B3971","Bd",15132,98
"B3972","Bd",15138,65
"B3972","Bp",15139,62.5
"B3972","GL",15140,212.4
"B3972","SD",15141,37.5
"B3972","Dd",15142,32.5
"B3972","Dp",15143,36.3
"B3973","Bd",15146,62.5
"B3973","Dd",15147,34.4
"B3974","Bd",15152,59.5
"B3974","Bp",15153,55.8
"B3974","GL",15154,185.9
"B3974","SD",15155,30.5
"B3974","Dd",15156,30.5
"B3974","Dp",15157,33.3
"B3975","Bd",15160,59.3
"B3975","Bp",15161,55.7
"B3975","GL",15162,192.5
"B3975","SD",15163,34
"B3975","Dp",15164,34.4
"B3976","Bd",15167,56
"B3976","Dd",15168,28.7
"B3977","Bd",15173,58.2
"B3977","Dd",15174,30.5
"B3978","SD",15179,33.2
"B3979","Bp",15185,60.2
"B3980","Bp",15190,62
"B3981","Bd",15195,60.1
"B3981","Bp",15196,50
"B3981","GL",15197,241.2
"B3981","Dd",15198,32.4
"B3981","Dp",15199,48.5
"B3982","Bp",15202,51.7
"B3982","Dp",15203,49.7
"B3983","Bd",15208,49.6
"B3983","Bp",15209,42.5
"B3983","GL",15210,204.3
"B3984","Bd",15214,50.3
