"DepositType","PhaseCode","RecoveryDrySieve","RecoveryHand","RecoveryOther","RecoveryWaterSieve","SiteID"
NULL,"SKAI","0","0","0","0","S8915"
NULL,"SKAII","0","0","0","0","S8914"
NULL,"SKMT","0","0","0","0","S8145"
"Layer 3","SMI3","0","0","0","0","S3604"
NULL,"SMK1","0","0","0","0","S8149"
"Pit/post hole fills","SN","0","0","0","0","S4467"
NULL,"SONN","0","0","0","0","S7551"
NULL,"SPDG","0","0","0","0","S8158"
NULL,"SPH","1","1","0","0","S9178"
"Filled-in mine shafts","SPII","0","0","1","0","S5002"
"Cultural layers, pit fills, ditch fills","SPIII","0","0","0","0","S4458"
NULL,"SR8","0","0","0","0","S7774"
"Ditch fills","SRF","0","0","0","0","S3851"
"Ditch fills","SSX","0","0","0","0","S5007"
NULL,"STBR","0","0","0","0","S3868"
NULL,"STCA","0","1","0","0","S5012"
NULL,"STF","0","0","0","0","S7425"
NULL,"STH2","0","0","0","0","S3876"
NULL,"STI","0","0","0","0","S7403"
"Pit fills","STLEO","0","1","1","0","S3630"
NULL,"STO","0","0","0","0","S7547"
"Pit/ditch fills, house structures","STRL1","0","0","0","0","S5009"
"House structures","STRL2","0","0","0","0","S5009"
"Pit fills","STRZ","0","0","0","0","S3894"
"Pit fills and cultural layers","STV","0","0","0","0","S3895"
NULL,"STW","0","0","0","0","S3884"
"Cultural layers","SW3","0","1","1","1","S4469"
NULL,"SZLA","0","0","0","0","S7804"
NULL,"SZM","0","0","0","0","S3861"
NULL,"SZW","0","0","0","0","S3893"
NULL,"TAGR1","0","0","0","0","S8182"
"4 pits and 1 cultural layer","TBO","0","1","0","1","S5040"
"Cultural layers","TCP","0","0","0","0","S4039"
"Foundation trenches","TD","0","0","1","0","S3936"
NULL,"TEM1","0","0","0","0","S6103"
NULL,"TEM2","0","0","0","0","S6103"
"Ditch fills","TEP","0","0","0","0","S8870"
NULL,"THIE","0","0","1","0","S5027"
"Pit fills","THILL","1","1","0","0","S8898"
"Cultural layers","THUN","0","1","1","0","S5028"
"Underwater deposits","TIM3","0","0","0","0","S7405"
"Mainly midden deposits","TN1","1","1","1","1","S5034"
NULL,"TN2","1","1","1","1","S5034"
NULL,"TN3","1","1","1","1","S5034"
NULL,"TRM2","0","0","0","0","S7812"
NULL,"TRM36","0","0","0","0","S5037"
NULL,"TRM58","0","0","0","0","S5038"
"Pit fills","TRO","0","0","0","0","S5039"
NULL,"TROL","0","0","0","0","S4555"
"Cultural layers","TSCHAE","0","1","1","0","S5041"
"General fills","TSM","0","0","0","0","S8879"
NULL,"TVIG","0","0","0","0","S8197"
NULL,"TWD","1","1","0","0","S8897"
"Cultural layers","TWNC","0","1","1","0","S4062"
NULL,"UM2","0","0","0","0","S7563"
NULL,"UST","0","0","0","0","S3921"
"1 pit","UW","0","0","0","0","S5045"
NULL,"V105","0","0","1","0","S5048"
NULL,"V44","0","0","1","0","S5049"
NULL,"V49","0","0","1","0","S5050"
NULL,"V86","0","0","0","0","S5051"
NULL,"VAHL","0","0","0","0","S6126"
"Pit/ditch fills, house structures","VAI","0","1","0","1","S5047"
NULL,"VAY","0","0","0","0","S8869"
NULL,"VB1","0","0","0","0","S4176"
NULL,"VC1","0","0","0","0","S4139"
NULL,"VC2","0","0","0","0","S4139"
NULL,"VEJ","0","0","0","0","S8907"
NULL,"VID","0","0","0","0","S4143"
NULL,"VID2","0","0","0","0","S4143"
NULL,"VID3","0","0","0","0","S4143"
NULL,"VILL","0","0","0","0","S8448"
NULL,"VL3","0","0","0","0","S4164"
"Pit fills","VTOL","0","0","0","0","S4154"
"Pit fills","WA","0","0","0","0","S4191"
NULL,"WAW2","0","0","0","0","S7829"
NULL,"WAY","0","0","0","0","S4210"
NULL,"WDH2","0","1","1","0","S5067"
NULL,"WEG12","0","0","0","0","S7817"
"Pit fills","WEI","0","0","0","0","S5062"
"2 pits","WEST","0","0","0","0","S5065"
"Pit fills","WET1","0","0","0","0","S3470"
"Pit fills","WET4","0","0","0","0","S3470"
NULL,"WETZH","0","0","0","0","S7580"
NULL,"WEY","0","0","0","0","S7550"
"Old land surface and pre-enclosure bank","WH1","1","1","1","1","S4235"
"Enclosure ditch fills","WH3","1","1","1","1","S4235"
"Tertiary fill of enclosure fill ","WH4","1","1","1","1","S4235"
"Pit/ditch fills","WHD","1","1","0","0","S8901"
"Pit fills","WHX","0","0","0","0","S4501"
"Pit fills","WHX2","0","0","0","0","S4501"
NULL,"WIT","0","0","0","0","S6094"
NULL,"WKLB","0","1","0","0","S5063"
NULL,"WKP","0","1","1","0","S5064"
NULL,"WM","0","0","0","0","S6147"
"Cultural layers","WSX","0","0","0","1","S4189"
NULL,"WSX1","0","0","0","0","S4189"
"Cultural layers, pits","WT","0","1","1","1","S5061"
NULL,"WZ2","0","0","0","0","S9168"
"Cultural layers","YVGM1","0","1","1","0","S5068"
"Cultural layers","YVGM2","0","1","1","0","S5068"
"Cultural layers, sondages, cesspit","YVON3","0","0","1","0","S5069"
NULL,"ZAL","0","0","0","0","S5071"
NULL,"ZAP","0","0","0","0","S7851"
"Cultural layers","ZHAKCW","0","0","0","0","S4288"
"Cultural layers","ZHAKH","0","0","0","0","S4288"
"Cultural layers","ZHAKJ","0","1","1","0","S4288"
"Cultural layers","ZHAKL","0","1","1","0","S4288"
"Pit fills","ZHD","0","0","0","0","S8880"
"Cultural layers","ZHKAN9","0","1","1","0","S5080"
"Cultural layers","ZHKANCW","0","1","0","0","S5080"
"Cultural layers","ZHKANH","0","1","0","0","S5080"
"Cultural layers","ZHKANP","0","1","0","0","S5080"
"Cultural layers","ZHKH4G","0","1","1","0","S4291"
NULL,"ZO","0","0","0","0","S5075"
"Pit fills","ZOR","0","0","0","0","S5076"
NULL,"ZSA1","0","0","0","0","S8883"
NULL,"ZSA2","0","0","0","0","S8883"
NULL,"ZUK","0","0","0","0","S5081"
NULL,"ZUM","0","0","0","0","S7592"
NULL,"ZUM2","0","0","0","0","S7592"
NULL,"ZWJ","0","0","0","0","S3727"
