Field Heading,Field Type,Description,Relationships
Culture,VARCHAR (100),Cultural assignment ,n/a
Subculture,VARCHAR (100),Subcultural assignment,n/a
Period,"ENUM ('EBA','EM','EMN','EN','IA','LBA','LM','LMEN','LN','LNEBA','MBA','MLN','MM','MN','UBA','UM','UN')","Broad chronological period (EBA=Early Bronze Age, EM=Early Mesolithic, EMN=Early/Middle Neolithic, EN=Early Neolithic, IA=Iron Age, LBA=Late Bronze Age, LM=Late Mesolithic, LMEN=Late Mesolithic/Early Neolithic, LN=Late Neolithic, LNEBA=Late Neolithic/Early Bronze Age, MBA=Middle Bronze Age, MLN=Middle/Late Neolithic, MM=Middle Mesolithic, MN=Middle Neolithic, UBA=Undetermined Bronze Age, UM=Undetermined Mesolithic, Undetermined Neolithic)",n/a
PhaseCode,VARCHAR (100),Unique phase identification code,"C14Samples.PhaseCode, FaunalPhases.PhaseCode, ABotPhases.PhaseCode"
SiteID,VARCHAR (100),Unique site identification number,CommonSites.SiteID
SiteType,"ENUM ('Barrow mound and ring ditch','Burial chamber','Camp','Cave/Rockshelter','Cemetery','Chambered cairn','Chambered tomb','Cist burial','Conjoined barrows','Cursus','Dolmen','Enclosure','Entrenched Settlement','Entrenched Settlement, Enclosure','Flint-Mine','Flint scatter','Henge monument','Henge monument, Settlement','Hillfort','Kokkenmodding','Long Barrow','Mound','Passage grave','Pile dwelling','Pits','Ring ditch','Ritual site','Round barrow','Settlement','Settlement, Cemetery','Settlement, Passage grave','Transcepted long cairn','Wedge tomb','Well')","Site use during that phase e.g. settlement, enclosure etc.",n/a
