Field Heading,Field Type,Description,Relationships
Contexts,VARCHAR (1000),"Description of context types sampled, e.g., ashy layers, burials, burnt areas, cultural layers, fill of pots, fire pits, hearths, middens, etc.",n/a
NumberofSamples,INT (11),Number of samples per phase/cultural unit,n/a
PhaseCode,VARCHAR (100),Unique Phase identification code,"CommonPhases.PhaseCode, ABotSamples.PhaseCode"
SiteID,VARCHAR (100),Unique Site identification number,"ABotPhases.SiteID, CommonSites.SiteID"
