Field Heading,Field Type,Description,Relationships
TaxonCode,VARCHAR (100),Unique code to identify the full taxonomic name; this usually consists of the first four letters of the genus and first three letters of the species,ABotSamples.TaxonCode
FullNameOfTaxon,VARCHAR (100),Full taxonomic name ,n/a
Genus,VARCHAR (100),Taxonomic rank of genus ,n/a
Family,VARCHAR (100),Taxonomic rank of family ,n/a
DomesticWildStatus,"ENUM ('cultivated','domestic','wild','wild/cultivated','wild/domestic')","Description of the wild/domestic status, including combination categories (wild & domestic) as well as inderterminate categories (wild/domestic)",n/a
