Field Heading,Field Type,Description,Relationships
Notes,VARCHAR (10000),"General notes field for information about the site, e.g., location, excavation and sampling details, etc. ",n/a
SiteID,VARCHAR (100),Unique Site identification number,"CommonSites.SiteID, ABotPhases.SiteID"
RecoveryMethod,"ENUM ('bucket flotation','bucket flotation, dry-sieving','bucket flotation, machine flotation','bucket flotation, wet-sieving','bucket flotation/machine flotation','dry-sieving','flotation','flotation, dry-sieving','flotation, hand-picked','flotation, wet-sieving','flotation, wet-sieving, wash-over','flotation, wet-sieving/dry-sieving','flotation/wash-over','froth flotation','froth flotation, wet-sieving, dry-sieving, hand-picked','hand-picked','hand-picked, wet-sieving/dry-sieving','hand-picked/dry-sieving','machine flotation','machine flotation, wet-sieving','sieving','wet-sieving','wet-sieving, dry-sieving','wet-sieving, dry-sieving, froth flotation','wet-sieving, hand-picked','wet-sieving/dry-sieving','wet-sieving/flotation','wet-sieving/wash-over')","Description of the recovery methods used, e.g., bucket flotation, machine flotation, dry-sieving, wet-sieving, hand-picked, etc.",n/a
MeshSize,VARCHAR (100),Mesh sizes used in flotation and dry-/wet-sieving (given in mm),n/a
RecoveryMethodNotes,VARCHAR (1000),General notes field for information about the recovery methods used,n/a
